I cmd;I act (filt);I cmd (ramp);I actual;I lim inuse rmp;Vd;incr_delta;V out
-6.34;-5.29;-6.34;-5.29;-12;-1489;-32;-1858
-6.34;-7.40;-6.34;-7.93;-12;-1483;-32;-1833
-6.34;-7.40;-6.34;-6.34;-12;-1491;-32;-1830
-6.34;-6.87;-6.34;-5.29;-12;-1494;-32;-1830
-6.34;-6.34;-6.34;-6.34;-12;-1480;-32;-1814
-6.34;-7.40;-6.34;-6.87;-12;-1481;-32;-1803
-6.34;-7.93;-6.34;-6.34;-12;-1497;-32;-1801
-6.34;-7.40;-6.34;-5.29;-12;-1522;-32;-1815
-6.34;-5.29;-6.34;-5.29;-12;-1531;-32;-1827
-6.34;-4.76;-6.34;-4.76;-12;-1528;-32;-1832
-6.34;-5.29;-6.34;-5.82;-12;-1542;-32;-1846
-6.34;-4.76;-6.34;-4.23;-12;-1559;-32;-1875
-6.34;-3.17;-6.34;-2.64;-12;-1558;-32;-1895
-6.34;-3.70;-6.34;-4.76;-12;-1557;-32;-1901
-6.34;-4.76;-6.34;-5.29;-12;-1567;-16;-1912
-6.34;-5.82;-6.34;-6.87;-12;-1590;-32;-1926
-6.34;-5.82;-6.34;-6.34;-12;-1605;-32;-1940
-6.34;-5.29;-6.34;-5.82;-12;-1592;-32;-1933
-6.34;-5.82;-6.34;-6.34;-12;-1575;-16;-1916
-6.34;-7.40;-6.34;-8.99;-12;-1583;-32;-1905
-6.34;-7.40;-6.34;-6.87;-12;-1595;-32;-1910
-6.34;-5.82;-6.34;-4.76;-12;-1591;-32;-1911
-6.34;-5.29;-6.34;-4.76;-12;-1560;-32;-1894
-6.34;-5.29;-6.34;-5.29;-12;-1548;-32;-1887
-6.34;-5.82;-6.34;-5.29;-12;-1551;-16;-1891
-6.34;-5.29;-6.34;-3.70;-12;-1537;-32;-1889
-6.34;-4.76;-6.34;-4.23;-12;-1505;-32;-1870
-6.34;-5.82;-6.34;-6.87;-12;-1484;-32;-1848
-6.34;-6.87;-6.34;-7.93;-12;-1485;-32;-1838
-6.34;-7.93;-6.34;-9.52;-12;-1493;-32;-1822
-6.34;-7.40;-6.34;-5.29;-12;-1507;-32;-1835
-6.34;-5.82;-6.34;-5.82;-12;-1487;-32;-1821
-6.34;-5.82;-6.34;-6.34;-12;-1492;-32;-1822
-6.34;-6.34;-6.34;-6.34;-12;-1502;-32;-1826
-6.34;-5.29;-6.34;-4.23;-12;-1509;-16;-1841
-6.34;-4.23;-6.34;-4.23;-12;-1504;-32;-1850
-6.34;-4.23;-6.34;-4.23;-12;-1496;-32;-1855
-6.34;-4.76;-6.34;-4.76;-12;-1519;-16;-1879
-6.34;-4.23;-6.34;-4.23;-12;-1535;-16;-1904
-6.34;-3.70;-6.34;-4.23;-12;-1531;-32;-1913
-6.34;-4.76;-6.34;-5.82;-12;-1526;-16;-1913
-6.34;-5.29;-6.34;-6.87;-12;-1541;-32;-1922
-6.34;-6.87;-6.34;-7.93;-12;-1562;-32;-1930
-6.34;-6.34;-6.34;-5.29;-12;-1582;-32;-1952
-6.34;-4.76;-6.34;-4.76;-12;-1567;-32;-1948
-6.34;-4.76;-6.34;-3.70;-12;-1556;-32;-1952
-6.34;-5.29;-6.34;-5.29;-12;-1556;-32;-1951
-6.34;-5.29;-6.34;-4.76;-12;-1563;-32;-1960
-6.34;-4.23;-6.34;-3.70;-12;-1550;-32;-1963
-6.34;-4.76;-6.34;-4.76;-12;-1514;-32;-1945
-6.34;-5.29;-6.34;-5.82;-12;-1513;-32;-1941
-6.34;-6.87;-6.34;-6.87;-12;-1518;-32;-1934
-6.34;-6.87;-6.34;-7.40;-12;-1518;-32;-1922
-6.34;-6.87;-6.34;-6.34;-12;-1502;-16;-1905
-6.34;-6.87;-6.34;-6.87;-12;-1481;-32;-1878
-6.34;-7.93;-6.34;-8.46;-12;-1485;-32;-1860
